GO	GENE	CLASS
GO:0005085	NCU02131	MF
GO:0005085	NCU02131	MF
GO:0016787	NCU02150	MF
GO:0016787	NCU02150	MF
GO:0003676	NCU02152	MF
GO:0005515	NCU02158	MF
GO:0005515	NCU02158	MF
GO:0005975	NCU02184	BP
GO:0005975	NCU02184	BP
GO:0005515	NCU02466	MF
GO:0005515	NCU02466	MF
GO:0016491	NCU02480	MF
GO:0046912	NCU02482	MF
GO:0006099	NCU02482	BP
GO:0046912	NCU02482	MF
GO:0019781	NCU02532	MF
GO:0045116	NCU02532	BP
GO:0008641	NCU02532	MF
GO:0008641	NCU02532	MF
GO:0019781	NCU02532	MF
GO:0045116	NCU02532	BP
GO:0004396	NCU02542	MF
GO:0006096	NCU02542	BP
GO:0005524	NCU02542	MF
GO:0005975	NCU02542	BP
GO:0001678	NCU02542	BP
GO:0004396	NCU02542	MF
GO:0005536	NCU02542	MF
GO:0005524	NCU02542	MF
GO:0005975	NCU02542	BP
GO:0016773	NCU02542	MF
GO:0005524	NCU02542	MF
GO:0004396	NCU02542	MF
GO:0006096	NCU02542	BP
GO:0005524	NCU02542	MF
GO:0005975	NCU02542	BP
GO:0016773	NCU02542	MF
GO:0005524	NCU02542	MF
GO:0005975	NCU02542	BP
GO:0001678	NCU02542	BP
GO:0004396	NCU02542	MF
GO:0005536	NCU02542	MF
GO:0005524	NCU02542	MF
GO:0106035	NCU02573	BP
GO:0042025	NCU02576	CC
GO:0008270	NCU02576	MF
GO:0000981	NCU02576	MF
GO:0006355	NCU02576	BP
GO:0003677	NCU02576	MF
GO:0005634	NCU02576	CC
GO:0006351	NCU02576	BP
GO:0008270	NCU02576	MF
GO:0042025	NCU02576	CC
GO:0008270	NCU02576	MF
GO:0000981	NCU02576	MF
GO:0006355	NCU02576	BP
GO:0003677	NCU02576	MF
GO:0005634	NCU02576	CC
GO:0006351	NCU02576	BP
GO:0008270	NCU02576	MF
GO:0006355	NCU02578	BP
GO:0003714	NCU02578	MF
GO:0030246	NCU02583	MF
GO:0005975	NCU02583	BP
GO:0003824	NCU02583	MF
GO:0005975	NCU02583	BP
GO:0004553	NCU02583	MF
GO:0030246	NCU02583	MF
GO:0005975	NCU02583	BP
GO:0003824	NCU02583	MF
GO:0005975	NCU02583	BP
GO:0004553	NCU02583	MF
GO:0061630	NCU02609	MF
GO:0071596	NCU02609	BP
GO:0007017	NCU02610	BP
GO:0030286	NCU02610	CC
GO:0007017	NCU02610	BP
GO:0005875	NCU02610	CC
GO:0005737	NCU02634	CC
GO:0005634	NCU02634	CC
GO:0005737	NCU02634	CC
GO:0005634	NCU02634	CC
GO:0004055	NCU02639	MF
GO:0006526	NCU02639	BP
GO:0005524	NCU02639	MF
GO:0004055	NCU02639	MF
GO:0006526	NCU02639	BP
GO:0004055	NCU02639	MF
GO:0005524	NCU02639	MF
GO:0006526	NCU02639	BP
GO:0005524	NCU02639	MF
GO:0004055	NCU02639	MF
GO:0004055	NCU02639	MF
GO:0006526	NCU02639	BP
GO:0004055	NCU02639	MF
GO:0005524	NCU02639	MF
GO:0006556	NCU02657	BP
GO:0004478	NCU02657	MF
GO:0006556	NCU02657	BP
GO:0004478	NCU02657	MF
GO:0005524	NCU02657	MF
GO:0006511	NCU02680	BP
GO:0006511	NCU02680	BP
GO:0046983	NCU02724	MF
GO:0016021	NCU02733	CC
GO:0016021	NCU02733	CC
GO:0003676	NCU02736	MF
GO:0003676	NCU02736	MF
GO:0005509	NCU02738	MF
GO:0005509	NCU02738	MF
GO:0032040	NCU02748	CC
GO:0003677	NCU02752	MF
GO:0005634	NCU02752	CC
GO:0006351	NCU02752	BP
GO:0008270	NCU02752	MF
GO:0008265	NCU02777	MF
GO:0006777	NCU02777	BP
GO:0003824	NCU02777	MF
GO:0030170	NCU02777	MF
GO:0030151	NCU02777	MF
GO:0003824	NCU02777	MF
GO:0030246	NCU02786	MF
GO:0005975	NCU02786	BP
GO:0016853	NCU02786	MF
GO:0030246	NCU02786	MF
GO:0005975	NCU02786	BP
GO:0003824	NCU02786	MF
GO:0032780	NCU02807	BP
GO:0042030	NCU02807	MF
GO:0005739	NCU02807	CC
GO:0005515	NCU02819	MF
GO:0046983	NCU02957	MF
